,Hexagon,Density,Device,NumBuckets,Percentage
0,8843a035a3fffff,Medium Density,Apple,52,0.36538461538461536
1,8843a035a3fffff,Medium Density,Samsung,52,0.28846153846153844
2,8843a035a3fffff,Medium Density,Combined,52,0.38461538461538464
3,8843a02207fffff,Medium Density,Apple,83,0.10843373493975904
4,8843a02207fffff,Medium Density,Samsung,83,0.18072289156626506
5,8843a02207fffff,Medium Density,Combined,83,0.26506024096385544
6,8843a02215fffff,Medium Density,Apple,13,0.23076923076923078
7,8843a02215fffff,Medium Density,Samsung,13,0.15384615384615385
8,8843a02215fffff,Medium Density,Combined,13,0.23076923076923078
9,8843a02267fffff,Medium Density,Apple,8,0.25
10,8843a02267fffff,Medium Density,Samsung,8,0.375
11,8843a02267fffff,Medium Density,Combined,8,0.375
12,8843a0235bfffff,Medium Density,Apple,10,0.4
13,8843a0235bfffff,Medium Density,Samsung,10,0.6
14,8843a0235bfffff,Medium Density,Combined,10,0.7
15,8843a0222bfffff,Medium Density,Apple,22,0.2727272727272727
16,8843a0222bfffff,Medium Density,Samsung,22,0.3181818181818182
17,8843a0222bfffff,Medium Density,Combined,22,0.5909090909090909
18,8843a022c7fffff,Medium Density,Apple,40,0.475
19,8843a022c7fffff,Medium Density,Samsung,40,0.275
20,8843a022c7fffff,Medium Density,Combined,40,0.475
21,8843a02041fffff,Medium Density,Apple,6,0.3333333333333333
22,8843a02041fffff,Medium Density,Samsung,6,0.6666666666666666
23,8843a02041fffff,Medium Density,Combined,6,0.6666666666666666
24,8843a15943fffff,Medium Density,Apple,2,1.0
25,8843a15943fffff,Medium Density,Samsung,2,1.0
26,8843a15943fffff,Medium Density,Combined,2,1.0
27,882a1065a7fffff,Medium Density,Apple,6,0.6666666666666666
28,882a1065a7fffff,Medium Density,Samsung,6,0.3333333333333333
29,882a1065a7fffff,Medium Density,Combined,6,0.6666666666666666
30,882a1065c7fffff,Medium Density,Apple,1,1.0
31,882a1065c7fffff,Medium Density,Samsung,1,1.0
32,882a1065c7fffff,Medium Density,Combined,1,1.0
33,882a1348bdfffff,Medium Density,Apple,3,0.0
34,882a1348bdfffff,Medium Density,Samsung,3,1.0
35,882a1348bdfffff,Medium Density,Combined,3,1.0
36,882a139131fffff,Medium Density,Apple,1,1.0
37,882a139131fffff,Medium Density,Samsung,1,0.0
38,882a139131fffff,Medium Density,Combined,1,1.0
39,881e8328c5fffff,Medium Density,Apple,2,1.0
40,881e8328c5fffff,Medium Density,Samsung,2,1.0
41,881e8328c5fffff,Medium Density,Combined,2,1.0
42,881e9d8319fffff,Medium Density,Apple,16,0.0625
43,881e9d8319fffff,Medium Density,Samsung,16,0.0625
44,881e9d8319fffff,Medium Density,Combined,16,0.125
45,881e9d82a5fffff,Medium Density,Apple,1,1.0
46,881e9d82a5fffff,Medium Density,Samsung,1,0.0
47,881e9d82a5fffff,Medium Density,Combined,1,1.0
48,881e9d8019fffff,Medium Density,Apple,2,1.0
49,881e9d8019fffff,Medium Density,Samsung,2,0.0
50,881e9d8019fffff,Medium Density,Combined,2,1.0
51,881e9d832bfffff,Medium Density,Apple,1,1.0
52,881e9d832bfffff,Medium Density,Samsung,1,0.0
53,881e9d832bfffff,Medium Density,Combined,1,1.0
54,8843a02665fffff,Medium Density,Apple,21,0.047619047619047616
55,8843a02665fffff,Medium Density,Samsung,21,0.0
56,8843a02665fffff,Medium Density,Combined,21,0.047619047619047616
57,8843a0228dfffff,Medium Density,Apple,44,0.36363636363636365
58,8843a0228dfffff,Medium Density,Samsung,44,0.4318181818181818
59,8843a0228dfffff,Medium Density,Combined,44,0.6136363636363636
60,8843a0219dfffff,Medium Density,Apple,6,0.6666666666666666
61,8843a0219dfffff,Medium Density,Samsung,6,0.5
62,8843a0219dfffff,Medium Density,Combined,6,0.6666666666666666
63,8843a021d1fffff,Medium Density,Apple,14,0.35714285714285715
64,8843a021d1fffff,Medium Density,Samsung,14,0.5
