,Time,Hexagon,Buckets,Radius,Device,Percentage
0,Morning,8843a035a3fffff,32,0.01,Apple,0.0625
1,Morning,8843a035a3fffff,32,0.01,Samsung,0.09375
2,Morning,8843a035a3fffff,32,0.01,Combined,0.15625
3,Morning,8843a035a3fffff,32,0.1,Apple,0.1875
4,Morning,8843a035a3fffff,32,0.1,Samsung,0.21875
5,Morning,8843a035a3fffff,32,0.1,Combined,0.28125
6,Morning,8843a035a3fffff,32,0.5,Apple,0.21875
7,Morning,8843a035a3fffff,32,0.5,Samsung,0.21875
8,Morning,8843a035a3fffff,32,0.5,Combined,0.28125
9,Morning,8843a035a3fffff,32,1.0,Apple,0.21875
10,Morning,8843a035a3fffff,32,1.0,Samsung,0.21875
11,Morning,8843a035a3fffff,32,1.0,Combined,0.28125
12,Morning,8843a035a3fffff,32,5.0,Apple,0.21875
13,Morning,8843a035a3fffff,32,5.0,Samsung,0.21875
14,Morning,8843a035a3fffff,32,5.0,Combined,0.28125
15,Morning,8843a022c3fffff,17,0.01,Apple,0.0
16,Morning,8843a022c3fffff,17,0.01,Samsung,0.058823529411764705
17,Morning,8843a022c3fffff,17,0.01,Combined,0.058823529411764705
18,Morning,8843a022c3fffff,17,0.1,Apple,0.0
19,Morning,8843a022c3fffff,17,0.1,Samsung,0.11764705882352941
20,Morning,8843a022c3fffff,17,0.1,Combined,0.11764705882352941
21,Morning,8843a022c3fffff,17,0.5,Apple,0.0
22,Morning,8843a022c3fffff,17,0.5,Samsung,0.11764705882352941
23,Morning,8843a022c3fffff,17,0.5,Combined,0.11764705882352941
24,Morning,8843a022c3fffff,17,1.0,Apple,0.0
25,Morning,8843a022c3fffff,17,1.0,Samsung,0.11764705882352941
26,Morning,8843a022c3fffff,17,1.0,Combined,0.11764705882352941
27,Morning,8843a022c3fffff,17,5.0,Apple,0.0
28,Morning,8843a022c3fffff,17,5.0,Samsung,0.11764705882352941
29,Morning,8843a022c3fffff,17,5.0,Combined,0.11764705882352941
30,Morning,8843a02203fffff,23,0.01,Apple,0.0
31,Morning,8843a02203fffff,23,0.01,Samsung,0.043478260869565216
32,Morning,8843a02203fffff,23,0.01,Combined,0.043478260869565216
33,Morning,8843a02203fffff,23,0.1,Apple,0.0
34,Morning,8843a02203fffff,23,0.1,Samsung,0.13043478260869565
35,Morning,8843a02203fffff,23,0.1,Combined,0.13043478260869565
36,Morning,8843a02203fffff,23,0.5,Apple,0.0
37,Morning,8843a02203fffff,23,0.5,Samsung,0.13043478260869565
38,Morning,8843a02203fffff,23,0.5,Combined,0.13043478260869565
39,Morning,8843a02203fffff,23,1.0,Apple,0.0
40,Morning,8843a02203fffff,23,1.0,Samsung,0.13043478260869565
41,Morning,8843a02203fffff,23,1.0,Combined,0.13043478260869565
42,Morning,8843a02203fffff,23,5.0,Apple,0.0
43,Morning,8843a02203fffff,23,5.0,Samsung,0.13043478260869565
44,Morning,8843a02203fffff,23,5.0,Combined,0.13043478260869565
45,Morning,8843a02215fffff,1,0.01,Apple,0.0
46,Morning,8843a02215fffff,1,0.01,Samsung,0.0
47,Morning,8843a02215fffff,1,0.01,Combined,0.0
48,Morning,8843a02215fffff,1,0.1,Apple,0.0
49,Morning,8843a02215fffff,1,0.1,Samsung,0.0
50,Morning,8843a02215fffff,1,0.1,Combined,0.0
51,Morning,8843a02215fffff,1,0.5,Apple,0.0
52,Morning,8843a02215fffff,1,0.5,Samsung,0.0
53,Morning,8843a02215fffff,1,0.5,Combined,0.0
54,Morning,8843a02215fffff,1,1.0,Apple,0.0
55,Morning,8843a02215fffff,1,1.0,Samsung,0.0
56,Morning,8843a02215fffff,1,1.0,Combined,0.0
57,Morning,8843a02215fffff,1,5.0,Apple,0.0
58,Morning,8843a02215fffff,1,5.0,Samsung,0.0
59,Morning,8843a02215fffff,1,5.0,Combined,0.0
60,Morning,8843a1594bfffff,1,0.01,Apple,0.0
61,Morning,8843a1594bfffff,1,0.01,Samsung,0.0
62,Morning,8843a1594bfffff,1,0.01,Combined,0.0
63,Morning,8843a1594bfffff,1,0.1,Apple,0.0
64,Morning,8843a1594bfffff,1,0.1,Samsung,0.0
65,Morning,8843a1594bfffff,1,0.1,Combined,0.0
66,Morning,8843a1594bfffff,1,0.5,Apple,0.0
67,Morning,8843a1594bfffff,1,0.5,Samsung,0.0
68,Morning,8843a1594bfffff,1,0.5,Combined,0.0
69,Morning,8843a1594bfffff,1,1.0,Apple,0.0
70,Morning,8843a1594bfffff,1,1.0,Samsung,0.0
71,Morning,8843a1594bfffff,1,1.0,Combined,0.0
72,Morning,8843a1594bfffff,1,5.0,Apple,0.0
73,Morning,8843a1594bfffff,1,5.0,Samsung,0.0
74,Morning,8843a1594bfffff,1,5.0,Combined,0.0
75,Morning,8843a15943fffff,2,0.01,Apple,0.0
76,Morning,8843a15943fffff,2,0.01,Samsung,0.0
77,Morning,8843a15943fffff,2,0.01,Combined,0.0
78,Morning,8843a15943fffff,2,0.1,Apple,0.0
79,Morning,8843a15943fffff,2,0.1,Samsung,0.5
80,Morning,8843a15943fffff,2,0.1,Combined,0.5
81,Morning,8843a15943fffff,2,0.5,Apple,0.0
82,Morning,8843a15943fffff,2,0.5,Samsung,0.5
83,Morning,8843a15943fffff,2,0.5,Combined,0.5
84,Morning,8843a15943fffff,2,1.0,Apple,0.0
85,Morning,8843a15943fffff,2,1.0,Samsung,0.5
86,Morning,8843a15943fffff,2,1.0,Combined,0.5
87,Morning,8843a15943fffff,2,5.0,Apple,0.0
88,Morning,8843a15943fffff,2,5.0,Samsung,0.5
89,Morning,8843a15943fffff,2,5.0,Combined,0.5
90,Morning,881f99db41fffff,2,0.01,Apple,0.0
91,Morning,881f99db41fffff,2,0.01,Samsung,0.0
92,Morning,881f99db41fffff,2,0.01,Combined,0.0
93,Morning,881f99db41fffff,2,0.1,Apple,0.5
94,Morning,881f99db41fffff,2,0.1,Samsung,0.5
95,Morning,881f99db41fffff,2,0.1,Combined,0.5
96,Morning,881f99db41fffff,2,0.5,Apple,0.5
97,Morning,881f99db41fffff,2,0.5,Samsung,0.5
98,Morning,881f99db41fffff,2,0.5,Combined,0.5
99,Morning,881f99db41fffff,2,1.0,Apple,0.5
100,Morning,881f99db41fffff,2,1.0,Samsung,0.5
101,Morning,881f99db41fffff,2,1.0,Combined,0.5
102,Morning,881f99db41fffff,2,5.0,Apple,0.5
103,Morning,881f99db41fffff,2,5.0,Samsung,0.5
104,Morning,881f99db41fffff,2,5.0,Combined,0.5
105,Morning,881e9d8313fffff,1,0.01,Apple,0.0
106,Morning,881e9d8313fffff,1,0.01,Samsung,0.0
107,Morning,881e9d8313fffff,1,0.01,Combined,0.0
